Sample:	'CPE45_PFOBPy_comocat
File name:	CPE45_PFOBPy_comocat.UDS
Run Date:	15:07:27, 01/28/2022
Operator:	praca
Comment:	'

Instrument
Model:	U-2900 Spectrophotometer
Serial Number:	'1903-009
ROM Version:	2J15301 01

Instrument Parameters
Measurement Type:	Wavelength Scan
Data Mode:	Abs
Starting Wavelength:	1100.0 nm
Ending Wavelength:	400.0 nm
Scan Speed:	400 nm/min
Sampling Interval:	1.0 nm
Slit Width:	1.50 nm
Lamp change mode:	Auto
Auto change wavelength:	340.0 nm
Baseline Correction:	User 1
Wait time:	0 s
Cycle Time:	54 min
Replicates:	1
Response:	Medium
Path Length:	10.0 mm
(Abs values are corrected to 10 mm path length)
660.0	0.0378
659.0	0.0378
658.0	0.0378
657.0	0.0379
656.0	0.0379
655.0	0.0379
654.0	0.0379
653.0	0.0379
652.0	0.0379
651.0	0.0379
650.0	0.0379
649.0	0.0379
648.0	0.0379
647.0	0.0378
646.0	0.0378
645.0	0.0378
644.0	0.0377
643.0	0.0377
642.0	0.0376
641.0	0.0376
640.0	0.0375
639.0	0.0375
638.0	0.0375
637.0	0.0374
636.0	0.0374
635.0	0.0374
634.0	0.0374
633.0	0.0373
632.0	0.0373
631.0	0.0373
630.0	0.0373
629.0	0.0373
628.0	0.0373
627.0	0.0373
626.0	0.0373
625.0	0.0372
624.0	0.0373
623.0	0.0373
622.0	0.0372
621.0	0.0373
620.0	0.0373
619.0	0.0373
618.0	0.0374
617.0	0.0374
616.0	0.0374
615.0	0.0375
614.0	0.0376
613.0	0.0376
612.0	0.0377
611.0	0.0377
610.0	0.0378
609.0	0.0379
608.0	0.0379
607.0	0.0380
606.0	0.0380
605.0	0.0381
604.0	0.0381
603.0	0.0382
602.0	0.0382
601.0	0.0383
600.0	0.0385
599.0	0.0386
598.0	0.0387
597.0	0.0387
596.0	0.0388
595.0	0.0389
594.0	0.0390
593.0	0.0390
592.0	0.0391
591.0	0.0391
590.0	0.0391
589.0	0.0392
588.0	0.0392
587.0	0.0393
586.0	0.0394
585.0	0.0394
584.0	0.0395
583.0	0.0396
582.0	0.0398
581.0	0.0399
580.0	0.0400
579.0	0.0402
578.0	0.0403
577.0	0.0404
576.0	0.0406
575.0	0.0406
574.0	0.0406
573.0	0.0407
572.0	0.0407
571.0	0.0406
570.0	0.0405
569.0	0.0404
568.0	0.0402
567.0	0.0401
566.0	0.0400
565.0	0.0398
564.0	0.0397
563.0	0.0396
562.0	0.0394
561.0	0.0393
560.0	0.0392
559.0	0.0391
558.0	0.0391
557.0	0.0391
556.0	0.0390
555.0	0.0390
554.0	0.0389
553.0	0.0388
552.0	0.0388
551.0	0.0388
550.0	0.0389
549.0	0.0389
548.0	0.0389
547.0	0.0389
546.0	0.0389
545.0	0.0389
544.0	0.0390
543.0	0.0390
542.0	0.0391
541.0	0.0391
540.0	0.0392
539.0	0.0393
538.0	0.0394
537.0	0.0394
536.0	0.0395
535.0	0.0396
534.0	0.0397
533.0	0.0397
532.0	0.0398
531.0	0.0399
530.0	0.0400
529.0	0.0401
528.0	0.0402
527.0	0.0403
526.0	0.0404
525.0	0.0405
524.0	0.0406
523.0	0.0407
522.0	0.0408
521.0	0.0409
520.0	0.0410
519.0	0.0411
518.0	0.0412
517.0	0.0413
516.0	0.0414
515.0	0.0415
514.0	0.0416
513.0	0.0417
512.0	0.0418
511.0	0.0419
510.0	0.0421
509.0	0.0422
508.0	0.0423
507.0	0.0424
506.0	0.0426
505.0	0.0427
504.0	0.0429
503.0	0.0431
502.0	0.0433
501.0	0.0435
500.0	0.0437
499.0	0.0439
498.0	0.0442
497.0	0.0444
496.0	0.0446
495.0	0.0449
494.0	0.0452
493.0	0.0454
492.0	0.0457
491.0	0.0460
490.0	0.0463
489.0	0.0466
488.0	0.0469
487.0	0.0472
486.0	0.0475
485.0	0.0477
484.0	0.0479
483.0	0.0481
482.0	0.0484
481.0	0.0487
480.0	0.0489
479.0	0.0492
478.0	0.0494
477.0	0.0497
476.0	0.0499
475.0	0.0502
474.0	0.0505
473.0	0.0507
472.0	0.0509
471.0	0.0511
470.0	0.0513
469.0	0.0515
468.0	0.0517
467.0	0.0519
466.0	0.0521
465.0	0.0523
464.0	0.0525
463.0	0.0527
462.0	0.0529
461.0	0.0531
460.0	0.0533
459.0	0.0535
458.0	0.0537
457.0	0.0539
456.0	0.0540
455.0	0.0542
454.0	0.0544
453.0	0.0546
452.0	0.0548
451.0	0.0550
450.0	0.0551
449.0	0.0553
448.0	0.0555
447.0	0.0557
446.0	0.0558
445.0	0.0560
444.0	0.0561
443.0	0.0562
442.0	0.0563
441.0	0.0564
440.0	0.0565
439.0	0.0567
438.0	0.0569
437.0	0.0570
436.0	0.0571
435.0	0.0572
434.0	0.0574
433.0	0.0576
432.0	0.0578
431.0	0.0579
430.0	0.0580
429.0	0.0582
428.0	0.0583
427.0	0.0584
426.0	0.0586
425.0	0.0588
424.0	0.0590
423.0	0.0592
422.0	0.0595
421.0	0.0599
420.0	0.0603
419.0	0.0608
418.0	0.0615
417.0	0.0623
416.0	0.0634
415.0	0.0646
414.0	0.0660
413.0	0.0677
412.0	0.0697
411.0	0.0721
410.0	0.0748
409.0	0.0779
408.0	0.0814
407.0	0.0852
406.0	0.0894
405.0	0.0939
404.0	0.0988
403.0	0.1040
402.0	0.1092
401.0	0.1146
400.0	0.1186

